Tempo	RPM_1	WOW	HP	VCAS	XGPS	YGPS	ZGPS	MagHead	AIL	NZ	THETA	PHI	DAlvo	TBase	
segundos	RPM	bit	ft	m/s	m	m	m	deg	deg	g	deg	deg	m	m	
62397.017	0.000	0.000	1799.088	0.381	0.000	0.000	573.000	131.906	1.566	-1.014	-6.812	3.300	0.000	-1.339	
62397.118	0.000	0.000	1798.621	0.381	0.000	0.000	573.000	132.647	1.662	-1.004	-6.706	3.328	42.317	-1.510	
62397.213	0.000	0.000	1798.981	0.381	0.000	0.000	573.000	106.280	1.566	-1.012	-6.724	3.309	42.317	-1.378	
62397.294	0.000	0.000	1799.158	0.381	0.000	0.000	573.000	132.879	1.789	-1.005	-6.717	3.273	42.317	-1.313	
62397.389	0.000	0.000	1798.478	0.381	-0.380	-0.000	573.000	132.236	1.566	-1.007	-6.765	3.305	42.266	-1.562	
62397.466	0.000	0.000	1798.585	0.381	-0.380	-0.000	573.000	131.348	1.758	-1.011	-6.776	3.252	42.266	-1.523	
62397.561	0.000	0.000	1799.513	0.271	-0.380	-0.000	573.000	93.752	1.821	-1.013	-6.774	3.255	42.266	-1.184	
62397.637	0.000	0.000	1799.394	0.477	-0.380	-0.000	573.000	128.089	1.630	-1.008	-6.779	3.319	42.266	-1.227	
62397.723	0.000	0.000	1799.436	0.477	-0.380	-0.000	573.000	135.855	1.566	-1.006	-6.773	3.271	42.266	-1.212	
62397.819	0.000	0.000	1797.088	0.207	-0.380	-0.000	573.000	126.634	1.598	-1.010	-6.808	3.350	42.266	-2.070	
62397.909	0.000	0.000	1798.963	0.207	-0.380	-0.000	573.000	129.732	1.534	-1.007	-6.818	3.302	42.266	-1.385	
62397.985	0.000	0.000	1798.627	0.207	-0.380	-0.000	573.000	126.511	1.694	-1.005	-6.751	3.311	42.266	-1.508	
62398.071	0.000	0.000	1800.474	0.207	-0.380	-0.000	573.000	128.027	1.534	-1.007	-6.795	3.334	42.266	-0.832	
62398.190	0.000	0.000	1799.737	0.207	-0.380	-0.000	573.000	97.921	1.758	-1.004	-6.786	3.345	42.266	-1.101	
62398.272	0.000	0.000	1801.193	0.649	-0.380	-0.000	573.000	133.386	1.566	-1.005	-6.800	3.303	42.266	-0.569	
