Tempo	HP	VCAS	XGPS	YGPS	ZGPS	MagHead	NZ	Gyx	Gyy	Gyz	NX	NY	MagX	MagY	MagZ	Pressao	Temperatura	Latitude	Longitude	HeadGPS	VelocidadeGPS	VelocidadeSubidaGPS	TemGPS	LatitudeHome	LongitudeHome	SatelitesUsados	temTempo	DAlvo	DAlvo_DRPitot	DAlvo_DRGPS	PosPayloadDrop_Pitot	PosPayloadDrop_GPS	LancamentoAutomaticoPlanador	LancamentoAutomaticoCarga	altitudeLiberaPlanadores	altitudeLiberaCarga	
segundos	ft	m/s	m	m	m	deg	g	deg/s	deg/s	deg/s	g	g	nlembro	nlembro	nlembro	mBar	C	deg	deg	nsei	m/s	m/s	m	deg	deg	num	bit	m	m	m	m	m	bin	bin	bin	bin	
85918.016	1784.325	0.000	0.000	0.000	566.100	332.176	-0.984	-0.531	0.906	-0.547	0.239	-0.000	3.600	1.900	-51.300	952.777	25.875	-23.202295	-45.874019	0.000	0.014	0.050	1.000	-23.202295	-45.874019	10.000	1.0	0.000	1000.000	1000.000	1000.000	1000.000	0.000	0.000	0.000	0.000	
85918.083	1784.325	0.000	0.000	0.000	566.100	330.945	-1.001	-1.148	1.180	-0.359	0.244	0.003	3.600	2.000	-51.500	952.777	25.875	-23.202295	-45.874019	0.000	0.014	0.050	0.000	-23.202295	-45.874019	10.000	1.0	0.000	1000.000	1000.000	1000.000	999.974	0.000	0.000	0.000	0.000	
85918.159	1784.613	0.000	-0.380	-0.000	566.100	335.225	-0.977	-0.758	0.930	-0.039	0.246	-0.001	3.900	1.800	-52.400	952.767	25.875	-23.202298	-45.874019	0.000	0.063	0.228	1.000	-23.202295	-45.874019	10.000	1.0	106.804	1000.000	1000.000	106.804	106.690	0.000	0.000	0.000	0.000	
85918.255	1783.756	0.000	-0.380	-0.000	566.100	340.115	-0.986	-0.563	1.320	-0.484	0.237	0.000	4.700	1.700	-50.900	952.796	25.879	-23.202298	-45.874019	0.000	0.063	0.228	1.000	-23.202295	-45.874019	10.000	1.0	106.804	106.804	106.804	106.804	106.690	0.000	0.000	0.000	0.000	
85918.341	1783.767	0.000	-0.380	-0.000	566.100	327.995	-0.992	-0.586	1.016	-0.367	0.245	0.000	4.000	2.500	-51.400	952.795	25.875	-23.202298	-45.874019	0.000	0.063	0.228	1.000	-23.202295	-45.874019	10.000	1.0	106.804	106.804	106.810	106.804	106.690	0.000	0.000	0.000	0.000	
85918.407	1782.556	0.000	-0.380	-0.000	566.100	324.462	-0.993	-1.078	0.859	-0.438	0.239	0.003	3.500	2.500	-52.600	952.835	25.877	-23.202298	-45.874019	0.000	0.063	0.228	1.000	-23.202295	-45.874019	10.000	1.0	106.804	106.804	106.815	106.804	106.702	0.000	0.000	0.000	0.000	
85918.474	1782.556	0.000	-0.380	-0.000	566.100	324.462	-0.993	-1.078	0.859	-0.438	0.239	0.003	3.500	2.500	-52.600	952.835	25.877	-23.202298	-45.874019	0.000	0.063	0.228	1.000	-23.202295	-45.874019	10.000	1.0	106.804	106.804	106.815	106.804	106.704	0.000	0.000	0.000	0.000	
85918.541	1782.245	0.000	-0.380	-0.000	566.100	319.686	-0.988	-0.523	0.953	-0.188	0.245	0.000	3.300	2.800	-52.200	952.846	25.879	-23.202298	-45.874019	0.000	0.063	0.228	0.000	-23.202295	-45.874019	10.000	1.0	106.804	106.804	106.824	106.804	106.704	0.000	0.000	0.000	0.000	
85918.627	1782.659	0.000	-0.380	-0.000	566.100	323.130	-0.987	-0.391	1.047	-0.461	0.246	0.002	3.200	2.400	-51.900	952.832	25.879	-23.202298	-45.874019	0.000	0.063	0.228	1.000	-23.202295	-45.874019	10.000	1.0	106.804	106.804	106.828	106.804	106.700	0.000	0.000	0.000	0.000	
