Tempo	HP	VCAS	XGPS	YGPS	ZGPS	MagHead	NZ	Gyx	Gyy	Gyz	NX	NY	MagX	MagY	MagZ	Pressao	Temperatura	Latitude	Longitude	HeadGPS	VelocidadeGPS	TemGPS	LatitudeHome	LongitudeHome	Alvo_X	Alvo_Y	SatelitesUsados	temTempo	DAlvo	PosX	PosY	PosX_carga	PosY_carga	Aviao_Alvo	altitudeLiberaPlanadores	altitudeLiberaCarga	LancamentoAutomaticoPlanador	LancamentoAutomaticoCarga	Alt_relativa	Erro_Alinhamento	Dist_aviao_alvo	Dist_carga_alvo	
segundos	ft	m/s	m	m	m	deg	g	deg/s	deg/s	deg/s	g	g	nlembro	nlembro	nlembro	mBar	C	deg	deg	nsei	m/s	m	deg	deg	m	m	num	bit	m	m	m	m	m	graus	bin	bin	bin	bin	m	graus	m	m	
64147.005	1884.763	2.515	0.000	0.000	573.300	323.931	-1.016	-1.508	0.922	-0.563	0.046	-0.055	24.300	17.700	-48.500	949.654	26.677	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	0.000	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	-0.101	-136.439	1423.216	1000.000	
64147.110	1886.165	2.515	0.000	0.000	573.300	322.158	-1.010	-1.586	0.695	-0.430	0.068	-0.054	24.200	18.800	-49.100	949.609	26.679	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	0.326	-136.439	2793.133	1000.000	
64147.182	1886.665	2.227	0.000	0.000	573.300	322.747	-1.013	-1.453	1.008	-0.945	0.062	-0.050	23.800	18.100	-49.600	949.593	26.681	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	0.479	-136.439	1423.217	1000.000	
64147.253	1886.665	2.515	0.000	0.000	573.300	334.482	-1.012	-1.813	0.891	-0.492	0.055	-0.062	28.700	13.700	-47.900	949.593	26.681	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	0.479	-136.439	1423.217	1000.000	
64147.325	1885.547	2.804	0.000	0.000	573.300	322.025	-1.011	-1.555	0.781	-0.258	0.062	-0.058	23.700	18.500	-49.000	949.629	26.681	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	0.138	-136.439	1423.218	1000.000	
64147.401	1889.312	2.933	0.000	0.000	573.300	322.025	-1.011	-1.555	0.781	-0.258	0.062	-0.058	23.700	18.500	-49.000	949.507	26.683	-22.946739	-45.427928	0.000	0.025	0.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	1.286	-136.439	1423.217	1000.000	
64147.501	1888.866	3.431	0.000	0.000	573.300	330.998	-1.012	-1.516	0.445	-0.406	0.050	-0.072	27.600	15.300	-47.300	949.521	26.681	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	1.150	-136.439	1423.217	1000.000	
64147.573	1890.178	2.902	0.000	0.000	573.300	324.128	-1.015	-1.570	1.102	-0.438	0.068	-0.044	24.200	17.500	-48.600	949.479	26.683	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	1.550	-136.439	1423.217	1000.000	
64147.654	1889.222	2.613	0.000	0.000	573.300	323.207	-1.012	-1.336	0.641	-1.070	0.048	-0.054	23.800	17.800	-48.600	949.510	26.683	-22.946739	-45.427928	0.000	0.025	1.000	-22.946739	-45.427928	-31.329	19.233	12.000	1.0	36.761	1000.000	1000.000	1000.000	1000.000	223.561	0.000	0.000	0.000	0.000	1.258	-136.439	1423.217	1000.000	
